CONTAINER ID   IMAGE                             COMMAND                  CREATED         STATUS         PORTS                                         NAMES
6bcb24288d25   task3-apollo-gateway              "docker-entrypoint.s…"   5 minutes ago   Up 5 minutes   0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp   apollo-gateway
94a420147780   task3-booking-subgraph            "docker-entrypoint.s…"   5 minutes ago   Up 5 minutes   0.0.0.0:4001->4001/tcp, [::]:4001->4001/tcp   booking-subgraph
a20d57e4df66   task3-hotel-subgraph              "docker-entrypoint.s…"   5 minutes ago   Up 5 minutes   0.0.0.0:4002->4002/tcp, [::]:4002->4002/tcp   hotel-subgraph
c9a52097cfac   bookingservicehistory:dev         "dotnet /app/bin/Deb…"   22 hours ago    Up 22 hours    8080-8081/tcp                                 bookingservicehistory-bookingservice-history-1
049740ec58bd   postgres:15                       "docker-entrypoint.s…"   22 hours ago    Up 22 hours    0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp   bookingservicehistory-bookinghistoryservice-db-1
5454e1435dcc   bookingservice:dev                "dotnet /app/bin/Deb…"   23 hours ago    Up 23 hours    0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp   booking-service
71714a38af51   postgres:15                       "docker-entrypoint.s…"   23 hours ago    Up 23 hours    0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp   bookingservice-bookingservice-db-1    
1c20a8a3d976   confluentinc/cp-kafka:7.2.1       "/etc/confluent/dock…"   24 hours ago    Up 24 hours    0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp   hotelio-monolith-kafka-1
8dc0c429e75d   postgres:15                       "docker-entrypoint.s…"   24 hours ago    Up 24 hours    0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp   hotelio-db
fcc17c193104   confluentinc/cp-zookeeper:7.2.1   "/etc/confluent/dock…"   24 hours ago    Up 24 hours    0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp   hotelio-monolith-zookeeper-1
9b8c114ae2fd   hotelio-monolith-monolith         "java -jar /app.jar"     24 hours ago    Up 24 hours    0.0.0.0:8084->8080/tcp, [::]:8084->8080/tcp   hotelio-monolith
